Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RecorderdOrder,Chrome 70.0.3538.102,,2018-11-13 14:08:10,2018-11-13 14:08:20,"9,501s",FAILED
,,,,,,
Test Cases/RecorderdOrder/RecorderdOrder,Chrome 70.0.3538.102,,2018-11-13 14:08:11,2018-11-13 14:08:19,"8,579s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 14:08:11,2018-11-13 14:08:14,"3,128s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 14:08:14,2018-11-13 14:08:14,"0,245s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 14:08:14,2018-11-13 14:08:14,"0,202s",PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-13 14:08:14,2018-11-13 14:08:15,"0,191s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:15,2018-11-13 14:08:15,"0,198s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:15,2018-11-13 14:08:16,"0,715s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:16,2018-11-13 14:08:17,"1,678s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:17,2018-11-13 14:08:18,"0,379s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:18,2018-11-13 14:08:18,"0,101s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:18,2018-11-13 14:08:18,"0,107s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:18,2018-11-13 14:08:19,"0,663s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:19,2018-11-13 14:08:19,"0,118s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:08:19,2018-11-13 14:08:19,"0,575s",FAILED
